1156	2	1*((5-1)*6)	(5*(6-1))-1								
1157	2	(1+1)*(5+7)	(5-1)*(7-1)								
1158	1	(5-(1+1))*8									
1166	2	6*(6-(1+1))	(1+1)*(6+6)								
1168	1	(6*8)/(1+1)									
1169	1	((1+1)*9)+6									
1188	1	((1+1)*8)+8									
1224	1	(1+2)*(2*4)									
1225	2	(1+5)*(2+2)	(1+5)*(2*2)								
1226	3	(1+2)*(2+6)	1*((2+2)*6)	1*(2*(2*6))							
1227	2	(2+2)*(7-1)	2*(2*(7-1))								
1228	2	((2+2)-1)*8	((2*2)-1)*8								
1229	1	(1+(2+9))*2									
1233	1	(1+3)*(2*3)									
1234	3	(1+(2+3))*4	1*(2*(3*4))	(1+3)*(2+4)							
1235	4	(1+2)*(3+5)	((2+3)*5)-1	(1+(2+5))*3	2*(3*(5-1))						
1236	3	((2+3)-1)*6	1*((2+6)*3)	2*((3-1)*6)							
1237	3	1+(2+(3*7))	((1+2)*7)+3	((2+7)-1)*3							
1238	4	(2-1)*(3*8)	(1+3)*(8-2)	(1+(3+8))*2	8/(1-(2/3))						
1239	4	(3*9)-(1+2)	1*(2*(3+9))	((1+2)*9)-3	((1+9)-2)*3						
1244	3	(1+2)*(4+4)	1*((2+4)*4)	2*(4*(4-1))							
1245	2	((2+5)-1)*4	(2+4)*(5-1)								
1246	2	(2-1)*(4*6)	(2+6)*(4-1)								
1247	2	((1+7)-2)*4	(1+(4+7))*2								
1248	4	((1+4)-2)*8	1*(2*(4+8))	1*(4*(8-2))	(1+(4/2))*8						
1249	3	4*(9-(1+2))	2*((4+9)-1)	((1+9)*2)+4							
1255	1	(1+(5*5))-2									
1256	3	((1+5)-2)*6	(1+5)*(6-2)	(1+(5+6))*2							
1257	3	1*(2*(5+7))	(5*(7-2))-1	(1+7)*(5-2)							
1258	4	1*((5-2)*8)	((1+5)*8)/2	(5-1)*(8-2)	2*((5+8)-1)						
1259	3	((1+2)*5)+9	1+((2*9)+5)	(5-2)*(9-1)							
